POSIÇÃO INICIAL: 50
================================
Movimento: L4      | 50 -> 46 
Movimento: L485    | 85 -> 00 <-- ZERO
Movimento: L62     | 00 -> 38 
Movimento: L90     | 38 -> 48 
Movimento: R81     | 48 -> 29 
Movimento: L29     | 29 -> 00 <-- ZERO
Movimento: L56     | 00 -> 44 
Movimento: R49     | 44 -> 93 
Movimento: R7      | 93 -> 00 <-- ZERO
Movimento: R57     | 00 -> 57 
Movimento: R56     | 57 -> 13 
Movimento: L13     | 13 -> 00 <-- ZERO
Movimento: R61     | 00 -> 61 
Movimento: L61     | 61 -> 00 <-- ZERO
Movimento: L90     | 00 -> 10 
Movimento: L35     | 10 -> 75 
Movimento: R28     | 75 -> 03 
Movimento: L95     | 03 -> 08 
Movimento: L73     | 08 -> 35 
Movimento: L14     | 35 -> 21 
Movimento: L21     | 21 -> 00 <-- ZERO
Movimento: L79     | 00 -> 21 
Movimento: L4      | 21 -> 17 
Movimento: R67     | 17 -> 84 
Movimento: L84     | 84 -> 00 <-- ZERO
Movimento: R69     | 00 -> 69 
Movimento: R23     | 69 -> 92 
Movimento: L13     | 92 -> 79 
Movimento: R21     | 79 -> 00 <-- ZERO
Movimento: R611    | 00 -> 11 
Movimento: L22     | 11 -> 89 
Movimento: L92     | 89 -> 97 
Movimento: L86     | 97 -> 11 
Movimento: R5      | 11 -> 16 
Movimento: L79     | 16 -> 37 
Movimento: R63     | 37 -> 00 <-- ZERO
Movimento: R85     | 00 -> 85 
Movimento: L263    | 85 -> 22 
Movimento: R27     | 22 -> 49 
Movimento: L56     | 49 -> 93 
Movimento: R83     | 93 -> 76 
Movimento: R93     | 76 -> 69 
Movimento: R35     | 69 -> 04 
Movimento: L67     | 04 -> 37 
Movimento: R69     | 37 -> 06 
Movimento: L67     | 06 -> 39 
Movimento: L18     | 39 -> 21 
Movimento: R89     | 21 -> 10 
Movimento: R17     | 10 -> 27 
Movimento: L27     | 27 -> 00 <-- ZERO
Movimento: R15     | 00 -> 15 
Movimento: L22     | 15 -> 93 
Movimento: R30     | 93 -> 23 
Movimento: L17     | 23 -> 06 
Movimento: R12     | 06 -> 18 
Movimento: L18     | 18 -> 00 <-- ZERO
Movimento: L46     | 00 -> 54 
Movimento: L54     | 54 -> 00 <-- ZERO
Movimento: R48     | 00 -> 48 
Movimento: R18     | 48 -> 66 
Movimento: R96     | 66 -> 62 
Movimento: L62     | 62 -> 00 <-- ZERO
Movimento: R40     | 00 -> 40 
Movimento: R60     | 40 -> 00 <-- ZERO
Movimento: R5      | 00 -> 05 
Movimento: R16     | 05 -> 21 
Movimento: R79     | 21 -> 00 <-- ZERO
Movimento: L99     | 00 -> 01 
Movimento: L1      | 01 -> 00 <-- ZERO
Movimento: L53     | 00 -> 47 
Movimento: L47     | 47 -> 00 <-- ZERO
Movimento: L33     | 00 -> 67 
Movimento: L85     | 67 -> 82 
Movimento: L501    | 82 -> 81 
Movimento: R808    | 81 -> 89 
Movimento: R511    | 89 -> 00 <-- ZERO
Movimento: L26     | 00 -> 74 
Movimento: R126    | 74 -> 00 <-- ZERO
Movimento: R373    | 00 -> 73 
Movimento: R27     | 73 -> 00 <-- ZERO
Movimento: L812    | 00 -> 88 
Movimento: L29     | 88 -> 59 
Movimento: L85     | 59 -> 74 
Movimento: L74     | 74 -> 00 <-- ZERO
Movimento: R88     | 00 -> 88 
Movimento: L88     | 88 -> 00 <-- ZERO
Movimento: L929    | 00 -> 71 
Movimento: R929    | 71 -> 00 <-- ZERO
Movimento: L32     | 00 -> 68 
Movimento: L68     | 68 -> 00 <-- ZERO
Movimento: L43     | 00 -> 57 
Movimento: L68     | 57 -> 89 
Movimento: R65     | 89 -> 54 
Movimento: L71     | 54 -> 83 
Movimento: R75     | 83 -> 58 
Movimento: L25     | 58 -> 33 
Movimento: L44     | 33 -> 89 
Movimento: L93     | 89 -> 96 
Movimento: R15     | 96 -> 11 
Movimento: R89     | 11 -> 00 <-- ZERO
Movimento: R88     | 00 -> 88 
Movimento: L88     | 88 -> 00 <-- ZERO
Movimento: L793    | 00 -> 07 
Movimento: R93     | 07 -> 00 <-- ZERO
Movimento: R1      | 00 -> 01 
Movimento: R386    | 01 -> 87 
Movimento: L53     | 87 -> 34 
Movimento: R503    | 34 -> 37 
Movimento: L37     | 37 -> 00 <-- ZERO
Movimento: R41     | 00 -> 41 
Movimento: L64     | 41 -> 77 
Movimento: L813    | 77 -> 64 
Movimento: R949    | 64 -> 13 
Movimento: L37     | 13 -> 76 
Movimento: L76     | 76 -> 00 <-- ZERO
Movimento: L28     | 00 -> 72 
Movimento: L354    | 72 -> 18 
Movimento: L86     | 18 -> 32 
Movimento: R39     | 32 -> 71 
Movimento: L871    | 71 -> 00 <-- ZERO
Movimento: R61     | 00 -> 61 
Movimento: R22     | 61 -> 83 
Movimento: R17     | 83 -> 00 <-- ZERO
Movimento: R88     | 00 -> 88 
Movimento: L78     | 88 -> 10 
Movimento: R17     | 10 -> 27 
Movimento: R73     | 27 -> 00 <-- ZERO
Movimento: R48     | 00 -> 48 
Movimento: R11     | 48 -> 59 
Movimento: R60     | 59 -> 19 
Movimento: L19     | 19 -> 00 <-- ZERO
Movimento: R531    | 00 -> 31 
Movimento: R49     | 31 -> 80 
Movimento: R44     | 80 -> 24 
Movimento: R667    | 24 -> 91 
Movimento: R77     | 91 -> 68 
Movimento: R532    | 68 -> 00 <-- ZERO
Movimento: R799    | 00 -> 99 
Movimento: R1      | 99 -> 00 <-- ZERO
Movimento: L84     | 00 -> 16 
Movimento: L16     | 16 -> 00 <-- ZERO
Movimento: L40     | 00 -> 60 
Movimento: R49     | 60 -> 09 
Movimento: L89     | 09 -> 20 
Movimento: R80     | 20 -> 00 <-- ZERO
Movimento: L735    | 00 -> 65 
Movimento: L365    | 65 -> 00 <-- ZERO
Movimento: R44     | 00 -> 44 
Movimento: R32     | 44 -> 76 
Movimento: R79     | 76 -> 55 
Movimento: R952    | 55 -> 07 
Movimento: R893    | 07 -> 00 <-- ZERO
Movimento: L21     | 00 -> 79 
Movimento: L36     | 79 -> 43 
Movimento: R157    | 43 -> 00 <-- ZERO
Movimento: R53     | 00 -> 53 
Movimento: R47     | 53 -> 00 <-- ZERO
Movimento: R30     | 00 -> 30 
Movimento: L30     | 30 -> 00 <-- ZERO
Movimento: R28     | 00 -> 28 
Movimento: L49     | 28 -> 79 
Movimento: R22     | 79 -> 01 
Movimento: R43     | 01 -> 44 
Movimento: R45     | 44 -> 89 
Movimento: L89     | 89 -> 00 <-- ZERO
Movimento: R116    | 00 -> 16 
Movimento: R90     | 16 -> 06 
Movimento: L6      | 06 -> 00 <-- ZERO
Movimento: L11     | 00 -> 89 
Movimento: L7      | 89 -> 82 
Movimento: R62     | 82 -> 44 
Movimento: L671    | 44 -> 73 
Movimento: R31     | 73 -> 04 
Movimento: L8      | 04 -> 96 
Movimento: R4      | 96 -> 00 <-- ZERO
Movimento: L77     | 00 -> 23 
Movimento: R77     | 23 -> 00 <-- ZERO
Movimento: L32     | 00 -> 68 
Movimento: R376    | 68 -> 44 
Movimento: R956    | 44 -> 00 <-- ZERO
Movimento: R19     | 00 -> 19 
Movimento: L91     | 19 -> 28 
Movimento: L589    | 28 -> 39 
Movimento: L484    | 39 -> 55 
Movimento: R68     | 55 -> 23 
Movimento: L453    | 23 -> 70 
Movimento: L24     | 70 -> 46 
Movimento: L46     | 46 -> 00 <-- ZERO
Movimento: L59     | 00 -> 41 
Movimento: L41     | 41 -> 00 <-- ZERO
Movimento: R876    | 00 -> 76 
Movimento: R24     | 76 -> 00 <-- ZERO
Movimento: R601    | 00 -> 01 
Movimento: R52     | 01 -> 53 
Movimento: R47     | 53 -> 00 <-- ZERO
Movimento: L20     | 00 -> 80 
Movimento: L56     | 80 -> 24 
Movimento: L4      | 24 -> 20 
Movimento: L20     | 20 -> 00 <-- ZERO
Movimento: R57     | 00 -> 57 
Movimento: L799    | 57 -> 58 
Movimento: R42     | 58 -> 00 <-- ZERO
Movimento: L35     | 00 -> 65 
Movimento: L36     | 65 -> 29 
Movimento: L29     | 29 -> 00 <-- ZERO
Movimento: R93     | 00 -> 93 
Movimento: R21     | 93 -> 14 
Movimento: L14     | 14 -> 00 <-- ZERO
Movimento: L14     | 00 -> 86 
Movimento: R496    | 86 -> 82 
Movimento: L982    | 82 -> 00 <-- ZERO
Movimento: L10     | 00 -> 90 
Movimento: R39     | 90 -> 29 
Movimento: L29     | 29 -> 00 <-- ZERO
Movimento: L118    | 00 -> 82 
Movimento: L13     | 82 -> 69 
Movimento: L69     | 69 -> 00 <-- ZERO
Movimento: R3      | 00 -> 03 
Movimento: R99     | 03 -> 02 
Movimento: R98     | 02 -> 00 <-- ZERO
Movimento: R769    | 00 -> 69 
Movimento: R95     | 69 -> 64 
Movimento: R160    | 64 -> 24 
Movimento: R558    | 24 -> 82 
Movimento: L82     | 82 -> 00 <-- ZERO
Movimento: R88     | 00 -> 88 
Movimento: L35     | 88 -> 53 
Movimento: R30     | 53 -> 83 
Movimento: L65     | 83 -> 18 
Movimento: L217    | 18 -> 01 
Movimento: R67     | 01 -> 68 
Movimento: R24     | 68 -> 92 
Movimento: R51     | 92 -> 43 
Movimento: R30     | 43 -> 73 
Movimento: R4      | 73 -> 77 
Movimento: R52     | 77 -> 29 
Movimento: R165    | 29 -> 94 
Movimento: L694    | 94 -> 00 <-- ZERO
Movimento: R53     | 00 -> 53 
Movimento: R47     | 53 -> 00 <-- ZERO
Movimento: L49     | 00 -> 51 
Movimento: L51     | 51 -> 00 <-- ZERO
Movimento: R60     | 00 -> 60 
Movimento: L95     | 60 -> 65 
Movimento: L65     | 65 -> 00 <-- ZERO
Movimento: L94     | 00 -> 06 
Movimento: R94     | 06 -> 00 <-- ZERO
Movimento: L8      | 00 -> 92 
Movimento: R7      | 92 -> 99 
Movimento: L85     | 99 -> 14 
Movimento: L10     | 14 -> 04 
Movimento: L895    | 04 -> 09 
Movimento: L35     | 09 -> 74 
Movimento: R948    | 74 -> 22 
Movimento: R14     | 22 -> 36 
Movimento: L36     | 36 -> 00 <-- ZERO
Movimento: R17     | 00 -> 17 
Movimento: L817    | 17 -> 00 <-- ZERO
Movimento: L52     | 00 -> 48 
Movimento: R991    | 48 -> 39 
Movimento: L57     | 39 -> 82 
Movimento: R23     | 82 -> 05 
Movimento: R11     | 05 -> 16 
Movimento: L57     | 16 -> 59 
Movimento: R70     | 59 -> 29 
Movimento: L78     | 29 -> 51 
Movimento: R60     | 51 -> 11 
Movimento: R67     | 11 -> 78 
Movimento: L78     | 78 -> 00 <-- ZERO
Movimento: R59     | 00 -> 59 
Movimento: R494    | 59 -> 53 
Movimento: L53     | 53 -> 00 <-- ZERO
Movimento: L306    | 00 -> 94 
Movimento: R83     | 94 -> 77 
Movimento: L77     | 77 -> 00 <-- ZERO
Movimento: L95     | 00 -> 05 
Movimento: L33     | 05 -> 72 
Movimento: L88     | 72 -> 84 
Movimento: L82     | 84 -> 02 
Movimento: R98     | 02 -> 00 <-- ZERO
Movimento: R80     | 00 -> 80 
Movimento: L80     | 80 -> 00 <-- ZERO
Movimento: L57     | 00 -> 43 
Movimento: L43     | 43 -> 00 <-- ZERO
Movimento: L688    | 00 -> 12 
Movimento: L12     | 12 -> 00 <-- ZERO
Movimento: L113    | 00 -> 87 
Movimento: R94     | 87 -> 81 
Movimento: L81     | 81 -> 00 <-- ZERO
Movimento: L65     | 00 -> 35 
Movimento: R8      | 35 -> 43 
Movimento: R637    | 43 -> 80 
Movimento: R85     | 80 -> 65 
Movimento: R14     | 65 -> 79 
Movimento: R169    | 79 -> 48 
Movimento: R2      | 48 -> 50 
Movimento: L23     | 50 -> 27 
Movimento: R32     | 27 -> 59 
Movimento: L63     | 59 -> 96 
Movimento: R6      | 96 -> 02 
Movimento: L30     | 02 -> 72 
Movimento: L32     | 72 -> 40 
Movimento: R60     | 40 -> 00 <-- ZERO
Movimento: L64     | 00 -> 36 
Movimento: R67     | 36 -> 03 
Movimento: R27     | 03 -> 30 
Movimento: R71     | 30 -> 01 
Movimento: L784    | 01 -> 17 
Movimento: R85     | 17 -> 02 
Movimento: R147    | 02 -> 49 
Movimento: R48     | 49 -> 97 
Movimento: R3      | 97 -> 00 <-- ZERO
Movimento: R83     | 00 -> 83 
Movimento: R196    | 83 -> 79 
Movimento: L63     | 79 -> 16 
Movimento: R5      | 16 -> 21 
Movimento: L21     | 21 -> 00 <-- ZERO
Movimento: L64     | 00 -> 36 
Movimento: R254    | 36 -> 90 
Movimento: R10     | 90 -> 00 <-- ZERO
Movimento: R51     | 00 -> 51 
Movimento: R49     | 51 -> 00 <-- ZERO
Movimento: L32     | 00 -> 68 
Movimento: R93     | 68 -> 61 
Movimento: R39     | 61 -> 00 <-- ZERO
Movimento: R95     | 00 -> 95 
Movimento: R45     | 95 -> 40 
Movimento: L89     | 40 -> 51 
Movimento: L51     | 51 -> 00 <-- ZERO
Movimento: L97     | 00 -> 03 
Movimento: R348    | 03 -> 51 
Movimento: R70     | 51 -> 21 
Movimento: L17     | 21 -> 04 
Movimento: R96     | 04 -> 00 <-- ZERO
Movimento: R471    | 00 -> 71 
Movimento: L96     | 71 -> 75 
Movimento: L75     | 75 -> 00 <-- ZERO
Movimento: L48     | 00 -> 52 
Movimento: R59     | 52 -> 11 
Movimento: R89     | 11 -> 00 <-- ZERO
Movimento: R335    | 00 -> 35 
Movimento: L35     | 35 -> 00 <-- ZERO
Movimento: L59     | 00 -> 41 
Movimento: R77     | 41 -> 18 
Movimento: L718    | 18 -> 00 <-- ZERO
Movimento: L60     | 00 -> 40 
Movimento: R60     | 40 -> 00 <-- ZERO
Movimento: L65     | 00 -> 35 
Movimento: R65     | 35 -> 00 <-- ZERO
Movimento: R53     | 00 -> 53 
Movimento: L53     | 53 -> 00 <-- ZERO
Movimento: R23     | 00 -> 23 
Movimento: R68     | 23 -> 91 
Movimento: L643    | 91 -> 48 
Movimento: R23     | 48 -> 71 
Movimento: R99     | 71 -> 70 
Movimento: R835    | 70 -> 05 
Movimento: R434    | 05 -> 39 
Movimento: L86     | 39 -> 53 
Movimento: R90     | 53 -> 43 
Movimento: R32     | 43 -> 75 
Movimento: R25     | 75 -> 00 <-- ZERO
Movimento: L94     | 00 -> 06 
Movimento: L351    | 06 -> 55 
Movimento: L41     | 55 -> 14 
Movimento: L33     | 14 -> 81 
Movimento: L81     | 81 -> 00 <-- ZERO
Movimento: L37     | 00 -> 63 
Movimento: R37     | 63 -> 00 <-- ZERO
Movimento: L749    | 00 -> 51 
Movimento: L49     | 51 -> 02 
Movimento: R29     | 02 -> 31 
Movimento: L51     | 31 -> 80 
Movimento: L13     | 80 -> 67 
Movimento: R13     | 67 -> 80 
Movimento: L80     | 80 -> 00 <-- ZERO
Movimento: L58     | 00 -> 42 
Movimento: R58     | 42 -> 00 <-- ZERO
Movimento: R76     | 00 -> 76 
Movimento: L98     | 76 -> 78 
Movimento: L78     | 78 -> 00 <-- ZERO
Movimento: L17     | 00 -> 83 
Movimento: L60     | 83 -> 23 
Movimento: R77     | 23 -> 00 <-- ZERO
Movimento: R409    | 00 -> 09 
Movimento: R334    | 09 -> 43 
Movimento: L43     | 43 -> 00 <-- ZERO
Movimento: L74     | 00 -> 26 
Movimento: L3      | 26 -> 23 
Movimento: L28     | 23 -> 95 
Movimento: L48     | 95 -> 47 
Movimento: R53     | 47 -> 00 <-- ZERO
Movimento: L88     | 00 -> 12 
Movimento: L90     | 12 -> 22 
Movimento: L61     | 22 -> 61 
Movimento: L61     | 61 -> 00 <-- ZERO
Movimento: R99     | 00 -> 99 
Movimento: R5      | 99 -> 04 
Movimento: R31     | 04 -> 35 
Movimento: L326    | 35 -> 09 
Movimento: L33     | 09 -> 76 
Movimento: L76     | 76 -> 00 <-- ZERO
Movimento: R17     | 00 -> 17 
Movimento: L29     | 17 -> 88 
Movimento: L88     | 88 -> 00 <-- ZERO
Movimento: L13     | 00 -> 87 
Movimento: L61     | 87 -> 26 
Movimento: L26     | 26 -> 00 <-- ZERO
Movimento: R17     | 00 -> 17 
Movimento: R62     | 17 -> 79 
Movimento: L79     | 79 -> 00 <-- ZERO
Movimento: R12     | 00 -> 12 
Movimento: R88     | 12 -> 00 <-- ZERO
Movimento: R46     | 00 -> 46 
Movimento: R84     | 46 -> 30 
Movimento: L30     | 30 -> 00 <-- ZERO
Movimento: R58     | 00 -> 58 
Movimento: L938    | 58 -> 20 
Movimento: R80     | 20 -> 00 <-- ZERO
Movimento: R8      | 00 -> 08 
Movimento: R64     | 08 -> 72 
Movimento: L72     | 72 -> 00 <-- ZERO
Movimento: L42     | 00 -> 58 
Movimento: L414    | 58 -> 44 
Movimento: L11     | 44 -> 33 
Movimento: L233    | 33 -> 00 <-- ZERO
Movimento: L31     | 00 -> 69 
Movimento: L169    | 69 -> 00 <-- ZERO
Movimento: R52     | 00 -> 52 
Movimento: L52     | 52 -> 00 <-- ZERO
Movimento: L43     | 00 -> 57 
Movimento: L80     | 57 -> 77 
Movimento: L377    | 77 -> 00 <-- ZERO
Movimento: R20     | 00 -> 20 
Movimento: R80     | 20 -> 00 <-- ZERO
Movimento: L70     | 00 -> 30 
Movimento: R70     | 30 -> 00 <-- ZERO
Movimento: R47     | 00 -> 47 
Movimento: L49     | 47 -> 98 
Movimento: L10     | 98 -> 88 
Movimento: L83     | 88 -> 05 
Movimento: R95     | 05 -> 00 <-- ZERO
Movimento: R22     | 00 -> 22 
Movimento: R59     | 22 -> 81 
Movimento: L81     | 81 -> 00 <-- ZERO
Movimento: L120    | 00 -> 80 
Movimento: R20     | 80 -> 00 <-- ZERO
Movimento: L786    | 00 -> 14 
Movimento: R80     | 14 -> 94 
Movimento: L72     | 94 -> 22 
Movimento: L85     | 22 -> 37 
Movimento: L128    | 37 -> 09 
Movimento: L809    | 09 -> 00 <-- ZERO
Movimento: R39     | 00 -> 39 
Movimento: R57     | 39 -> 96 
Movimento: R4      | 96 -> 00 <-- ZERO
Movimento: L57     | 00 -> 43 
Movimento: L35     | 43 -> 08 
Movimento: R92     | 08 -> 00 <-- ZERO
Movimento: L93     | 00 -> 07 
Movimento: R25     | 07 -> 32 
Movimento: R68     | 32 -> 00 <-- ZERO
Movimento: L71     | 00 -> 29 
Movimento: L544    | 29 -> 85 
Movimento: L783    | 85 -> 02 
Movimento: L11     | 02 -> 91 
Movimento: L91     | 91 -> 00 <-- ZERO
Movimento: R377    | 00 -> 77 
Movimento: L77     | 77 -> 00 <-- ZERO
Movimento: R10     | 00 -> 10 
Movimento: L964    | 10 -> 46 
Movimento: R6      | 46 -> 52 
Movimento: L76     | 52 -> 76 
Movimento: R324    | 76 -> 00 <-- ZERO
Movimento: L15     | 00 -> 85 
Movimento: R82     | 85 -> 67 
Movimento: L72     | 67 -> 95 
Movimento: L66     | 95 -> 29 
Movimento: R128    | 29 -> 57 
Movimento: R875    | 57 -> 32 
Movimento: R86     | 32 -> 18 
Movimento: R82     | 18 -> 00 <-- ZERO
Movimento: R873    | 00 -> 73 
Movimento: L81     | 73 -> 92 
Movimento: L67     | 92 -> 25 
Movimento: L86     | 25 -> 39 
Movimento: R23     | 39 -> 62 
Movimento: R61     | 62 -> 23 
Movimento: R77     | 23 -> 00 <-- ZERO
Movimento: R15     | 00 -> 15 
Movimento: R47     | 15 -> 62 
Movimento: R88     | 62 -> 50 
Movimento: L59     | 50 -> 91 
Movimento: R9      | 91 -> 00 <-- ZERO
Movimento: L19     | 00 -> 81 
Movimento: L81     | 81 -> 00 <-- ZERO
Movimento: R56     | 00 -> 56 
Movimento: L86     | 56 -> 70 
Movimento: L15     | 70 -> 55 
Movimento: L955    | 55 -> 00 <-- ZERO
Movimento: L39     | 00 -> 61 
Movimento: L744    | 61 -> 17 
Movimento: R83     | 17 -> 00 <-- ZERO
Movimento: R93     | 00 -> 93 
Movimento: L93     | 93 -> 00 <-- ZERO
Movimento: R7      | 00 -> 07 
Movimento: R87     | 07 -> 94 
Movimento: L32     | 94 -> 62 
Movimento: L62     | 62 -> 00 <-- ZERO
Movimento: L45     | 00 -> 55 
Movimento: L50     | 55 -> 05 
Movimento: R3      | 05 -> 08 
Movimento: R92     | 08 -> 00 <-- ZERO
Movimento: L485    | 00 -> 15 
Movimento: L15     | 15 -> 00 <-- ZERO
Movimento: L70     | 00 -> 30 
Movimento: R276    | 30 -> 06 
Movimento: L76     | 06 -> 30 
Movimento: L66     | 30 -> 64 
Movimento: R58     | 64 -> 22 
Movimento: L12     | 22 -> 10 
Movimento: R90     | 10 -> 00 <-- ZERO
Movimento: L14     | 00 -> 86 
Movimento: R41     | 86 -> 27 
Movimento: R78     | 27 -> 05 
Movimento: L14     | 05 -> 91 
Movimento: L91     | 91 -> 00 <-- ZERO
Movimento: L93     | 00 -> 07 
Movimento: L5      | 07 -> 02 
Movimento: L319    | 02 -> 83 
Movimento: L90     | 83 -> 93 
Movimento: L293    | 93 -> 00 <-- ZERO
Movimento: R22     | 00 -> 22 
Movimento: R172    | 22 -> 94 
Movimento: R6      | 94 -> 00 <-- ZERO
Movimento: R31     | 00 -> 31 
Movimento: L45     | 31 -> 86 
Movimento: R88     | 86 -> 74 
Movimento: R48     | 74 -> 22 
Movimento: L95     | 22 -> 27 
Movimento: R47     | 27 -> 74 
Movimento: L94     | 74 -> 80 
Movimento: L15     | 80 -> 65 
Movimento: L8      | 65 -> 57 
Movimento: R64     | 57 -> 21 
Movimento: L21     | 21 -> 00 <-- ZERO
Movimento: R10     | 00 -> 10 
Movimento: L10     | 10 -> 00 <-- ZERO
Movimento: L73     | 00 -> 27 
Movimento: L69     | 27 -> 58 
Movimento: R33     | 58 -> 91 
Movimento: R7      | 91 -> 98 
Movimento: R282    | 98 -> 80 
Movimento: L80     | 80 -> 00 <-- ZERO
Movimento: R7      | 00 -> 07 
Movimento: L2      | 07 -> 05 
Movimento: R19     | 05 -> 24 
Movimento: L63     | 24 -> 61 
Movimento: R39     | 61 -> 00 <-- ZERO
Movimento: L955    | 00 -> 45 
Movimento: L27     | 45 -> 18 
Movimento: R718    | 18 -> 36 
Movimento: L39     | 36 -> 97 
Movimento: R218    | 97 -> 15 
Movimento: L915    | 15 -> 00 <-- ZERO
Movimento: R10     | 00 -> 10 
Movimento: L83     | 10 -> 27 
Movimento: R73     | 27 -> 00 <-- ZERO
Movimento: R70     | 00 -> 70 
Movimento: L70     | 70 -> 00 <-- ZERO
Movimento: L94     | 00 -> 06 
Movimento: L19     | 06 -> 87 
Movimento: R55     | 87 -> 42 
Movimento: R57     | 42 -> 99 
Movimento: R1      | 99 -> 00 <-- ZERO
Movimento: R67     | 00 -> 67 
Movimento: L2      | 67 -> 65 
Movimento: R35     | 65 -> 00 <-- ZERO
Movimento: R48     | 00 -> 48 
Movimento: L948    | 48 -> 00 <-- ZERO
Movimento: R846    | 00 -> 46 
Movimento: R54     | 46 -> 00 <-- ZERO
Movimento: R1      | 00 -> 01 
Movimento: R99     | 01 -> 00 <-- ZERO
Movimento: L86     | 00 -> 14 
Movimento: L14     | 14 -> 00 <-- ZERO
Movimento: R55     | 00 -> 55 
